"","id","study","group","fitness","trait","optimum","sd","optimumtest","samplesize","linear","linear.se","linear.95CI.l","linear.95CI.u","linear.effsamp","linear.pMCMC","quadratic","quadratic.se","quadratic.95CI.l","quadratic.95CI.u","quadratic.effsamp","quadratic.pMCMC"
"198",15,"Ensing, Sora and Eckert (2021)","2014; T2-MH","survival to fruiting","gdd.emerge.to.fl",0.476780540912178,39.2331585595956,0.907,2340,175.970389980006,442.26380904034,-360.769099090059,999.719866092099,20.1353828022267,0.442,-147.421909831468,305.56633896152,-730.71011294311,195.072218959911,11.8117034898629,0.236
"199",15,"Ensing, Sora and Eckert (2021)","2014; T2-MH","survival to fruiting","gdd.to.fl",-0.110099290698233,0.27399869073622,1,4300,3.44151208425737,10.7563791408485,-14.8575274164996,30.9014972908735,33.7021911216007,0.578,14.8190471037367,19.1345048030483,0.0777688214930095,56.1501772777144,1.68689990269167,0.001
"200",15,"Ensing, Sora and Eckert (2021)","2014; T2-MH","survival to fruiting","gdd.fl.to.mat",-0.134478911762662,0.0676202516262505,1,2361,-0.0183793800310497,0.00916691987320006,-0.0397541356214788,-0.00587574669043534,5.40435401418669,0.001,-0.0581770064082578,0.00510908487482583,-0.0698593049164629,-0.0498970732005546,5.91579483665928,0.001
"201",15,"Ensing, Sora and Eckert (2021)","2014; T2-MH","survival to fruiting","gdd.to.mat",1.24830116745037,0.132146857450478,1,2361,0.119836895911201,0.013860518938458,0.0913317076119711,0.131516061446746,1.74323994375552,0.001,-0.0506671309134151,0.00264564833834263,-0.0583374909547274,-0.0451215115608647,15.0263425088595,0.001
"202",15,"Ensing, Sora and Eckert (2021)","2014; T2-ML","survival to fruiting","gdd.to.emerge",-0.489246492557187,1.35887401618623,0.983,1546,22130.871031021,28725.7082013741,-3014.28188411267,84323.3748016409,3.50201859588636,0.04,27062.5591962035,35366.4967553056,-3.41645097524452,102374.452834191,4.60888514838271,0.00600000000000001
"203",15,"Ensing, Sora and Eckert (2021)","2014; T2-ML","survival to fruiting","gdd.emerge.to.fl",0.454815844532286,12.0380967205174,0.885,2340,533.930378053236,1997.73063901946,-608.38600122885,7018.90539981696,13.4123086999866,0.482,-474.121030268181,1436.25593852739,-4339.72555118246,354.425973896927,7.40565359319103,0.278
"204",15,"Ensing, Sora and Eckert (2021)","2014; T2-ML","survival to fruiting","gdd.to.fl",-0.107278171970611,0.273369274362758,1,4300,9.9500071804368,35.4894963124622,-45.1085921195117,95.0983292708406,36.6948157417819,0.64,46.0301121493865,72.7451086414208,0.142738473507052,232.933042144374,2.42331982058086,0.001
"205",15,"Ensing, Sora and Eckert (2021)","2014; T2-ML","survival to fruiting","gdd.fl.to.mat",-0.751893788091702,1.25588207192389,0.963,2361,-0.0370744574305862,0.0329177802151466,-0.0907719888436986,0.0169946900423383,3.5406470597554,0.378,-0.0220745333317539,0.0117615788314312,-0.0404100036103046,0.00186429396853782,3.2761711545229,0.108
"206",15,"Ensing, Sora and Eckert (2021)","2014; T2-ML","survival to fruiting","gdd.to.mat",0.353501170265186,9.73835579540342,0.919,2361,0.0475510236209464,0.0158240562686141,0.00374246053979732,0.0681799784797477,15.9274412565023,0.022,-0.0570055985188771,0.0330680524959517,-0.0850187659088988,0.0186617253057193,1.87884532701734,0.308
"207",15,"Ensing, Sora and Eckert (2021)","2014; T3-H","survival to fruiting","gdd.to.emerge",-0.488642371095137,8.61276299582323,0.982,1546,30382.2125156717,32413.5107484743,-3830.72119404246,98017.4859833234,8.14714344697625,0.054,33930.3018154002,33885.4803940655,-5.42112638367689,99143.7433193523,7.56746064072747,0.00600000000000001
"208",15,"Ensing, Sora and Eckert (2021)","2014; T3-H","survival to fruiting","gdd.emerge.to.fl",0.50126313607465,14.4927594958076,0.889,2340,351.532395132201,1256.73383692061,-610.583744619944,3458.17081776529,16.0919975190693,0.416,-290.182532132247,839.769915860221,-2182.10888436783,466.144072021416,11.8189608120555,0.232
