id,fr_set,n_seed,fitness,prop_seed_preyed,year,var,skew,kurt,avFD_v,n_fl_std,avFD_std,var_std,skew_std,kurt_std,fitness_rel,n_fl,n_mat_intact_fr,prop_seeds_escpred,n_fl_log,n_fl_log_std,npr_seeds,pr_seeds
1:101,0.4117647058823529,25,25,0,1987,1.4003335824264709,1.0757844971863142,3.384794200386279,68.74534117647059,1.309207273120305,-0.44015650673646994,1.302232182393242,1.0562380336802064,0.9702487855905484,3.9641926332954016,17,7,1,2.833213344056216,1.3257358080496915,25,0
1:105,0,0,0,NA,1987,NA,NA,NA,72.7504,-1.0921972338040855,0.48744300095422455,NA,NA,NA,0,1,0,NA,0,-2.464881672423692,0,0
1:51,0.3333333333333333,1,1,0,1987,0.11240416333333324,0.7071067811865492,1.5000000000000016,69.20186666666666,-0.7920216704385368,-0.3344220247692476,-0.934368110796676,0.5015581993488784,-0.7545181917839319,0.15856770533181605,3,1,1,1.0986122886681098,-0.995024503204607,1,0
1:52,0,0,0,NA,1987,0,NA,NA,77.0484,-0.7920216704385368,1.4828897246408608,-1.129567615474595,NA,NA,0,3,0,NA,1.0986122886681098,-0.995024503204607,0,0
1:53,0,0,0,NA,1987,0.125,NA,NA,71.7504,-0.9421094521213113,0.2558360387190836,-0.9124943562539188,NA,NA,0,2,0,NA,0.6931471805599453,-1.537505050863055,0,0
1:47,0,0,0,NA,1987,0.3955481166666667,0.5287347747216737,1.792471667241052,64.9856,-0.19167054370743913,-1.3109387394091976,-0.4426642645671256,0.23319547846409663,-0.48687864080715254,0,7,0,NA,1.9459101490553132,0.13859365071571503,0,0
1:50,0,0,0,NA,1987,0.2925208299999999,-0.09114547719353,1.5,70.6428,-0.7920216704385368,-6.918326525580296e-4,-0.6215800158102961,-0.6994214400963036,-0.7545181917839333,0,3,0,NA,1.0986122886681098,-0.995024503204607,0,0
1:54,0.16666666666666666,9,9,0,1987,0.9702333040000002,0.24722340121799824,1.4308673237187417,72.4088,-0.34175832539021356,0.4083260626547005,0.5553260285552076,-0.1903415980689014,-0.8177812032485259,1.4271093479863446,6,1,1,1.791759469228055,-0.0676478816439698,9,0
1:58,0.42857142857142855,8,8,0,1987,0.9127194228571428,0.17221026091180755,1.878411590410611,66.75137142857143,-0.19167054370743913,-0.901973782836164,0.4554482235143226,-0.3031997243727354,-0.4082353907957841,1.2685416426545284,7,3,1,1.9459101490553132,0.13859365071571503,8,0
1:59,0,0,0,NA,1987,0.6472667500000004,0.4125091706799376,1.4999999999999996,73.5164,-0.7920216704385368,0.6648539340263429,-0.00553319141319649,0.05833272978912694,-0.7545181917839338,0,3,0,NA,1.0986122886681098,-0.995024503204607,0,0
